fast_stage,capability_type,capability_id,capability_name,impairment_level,icf_code,clinical_notes,information_needs
FAST-4,IADL,IADL-8,Financial Management,Dependent,d860,Cannot handle finances independently; needs complete oversight.,Complete financial management by caregiver/POA; fraud monitoring
FAST-5,ADL,ADL-1,Bathing,Requires Prompting,d510,Needs prompting to bathe; may require assistance with some aspects.,Bathing schedule; step-by-step cueing; safety supervision; shower chair
FAST-5,ADL,ADL-2,Dressing,Requires Prompting,d540,Cannot select proper clothing without assistance; needs prompting for dressing.,Laying out clothes daily; weather-appropriate selection; simplified wardrobe
FAST-5,ADL,ADL-3,Toileting,Requires Prompting,d530,May need reminders to toilet; assistance with hygiene.,Regular toileting schedule; clear signage; hygiene assistance
FAST-5,ADL,ADL-4,Transferring,Independent,d420,Transfers generally independent but supervision recommended.,Fall risk assessment; assistive devices if needed; supervision
FAST-5,ADL,ADL-5,Continence,Requires Prompting,b620,Continent with scheduled toileting; occasional accidents may occur.,Scheduled toileting; accessible bathrooms; incontinence supplies on hand
FAST-5,ADL,ADL-6,Feeding,Independent,d550,Can feed self but may need meal setup and encouragement.,Meal setup; eating reminders; nutritious food; dining supervision
FAST-5,IADL,IADL-1,Using Telephone,Requires Assistance,d360,May answer phone but cannot initiate calls or use features.,Answering only; simplified phone; emergency button; caregiver makes calls
FAST-5,IADL,IADL-2,Shopping,Dependent,d620,Completely unable to shop independently.,All shopping done by caregiver; involvement in simple selections if possible
FAST-5,IADL,IADL-3,Food Preparation,Requires Assistance,d630,Cannot prepare meals independently; safety risk if unsupervised.,Complete meal preparation by caregiver; supervised simple tasks only
FAST-5,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot perform housekeeping tasks.,Complete housekeeping by caregiver or services
FAST-5,IADL,IADL-5,Laundry,Dependent,d640,Cannot do laundry independently.,Complete laundry assistance required
FAST-5,IADL,IADL-6,Transportation,Dependent,d470,Completely dependent on others for transportation.,Complete transportation provision; should not drive
FAST-5,IADL,IADL-7,Medications,Dependent,d570,Completely dependent on caregiver for all medication management.,Complete medication administration and management
FAST-5,IADL,IADL-8,Financial Management,Dependent,d860,Completely unable to manage any financial matters.,Complete financial management required; legal protections in place
FAST-6a,ADL,ADL-1,Bathing,Requires Assistance,d510,Requires physical assistance with bathing; cannot bathe safely alone.,Complete bathing assistance; safety equipment; two-person assist if needed
FAST-6a,ADL,ADL-2,Dressing,Requires Assistance,d540,Cannot put clothing on properly without physical assistance; forgets sequence.,Physical assistance with dressing; adaptive clothing; step-by-step help
FAST-6a,ADL,ADL-3,Toileting,Requires Prompting,d530,Needs prompting and some assistance with toileting mechanics.,Frequent prompting; hygiene assistance; scheduled toileting
FAST-6a,ADL,ADL-4,Transferring,Requires Prompting,d420,Transfers with supervision and cueing; fall risk increasing.,Transfer assistance; mobility aids; fall prevention strategies
FAST-6a,ADL,ADL-5,Continence,Requires Prompting,b620,Continent with scheduled toileting and prompting.,Scheduled toileting; easy-remove clothing; incontinence products available
FAST-6a,ADL,ADL-6,Feeding,Independent,d550,Can self-feed but needs meal setup and encouragement.,Meal setup; finger foods; adaptive utensils; eating supervision
FAST-6a,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot use telephone meaningfully.,Complete telephone management by caregiver
FAST-6a,IADL,IADL-2,Shopping,Dependent,d620,Completely unable to participate in shopping.,Complete shopping assistance
FAST-6a,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate in food preparation; safety hazard.,Complete meal preparation by caregiver
FAST-6a,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot perform any housekeeping.,Complete housekeeping required
FAST-6a,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate in laundry.,Complete laundry care required
FAST-6a,IADL,IADL-6,Transportation,Dependent,d470,Completely dependent for all transportation.,Complete transportation assistance
FAST-6a,IADL,IADL-7,Medications,Dependent,d570,Completely dependent for medications.,Complete medication management
FAST-6a,IADL,IADL-8,Financial Management,Dependent,d860,Completely unable to manage finances.,Complete financial management
FAST-6b,ADL,ADL-1,Bathing,Requires Assistance,d510,Cannot bathe safely without full physical assistance; may resist.,Complete bathing assistance; bathroom safety; temperature monitoring
FAST-6b,ADL,ADL-2,Dressing,Requires Assistance,d540,Requires complete assistance with dressing.,Complete dressing assistance; adaptive clothing
FAST-6b,ADL,ADL-3,Toileting,Requires Prompting,d530,Needs assistance with toileting mechanics and hygiene.,Toileting assistance; hygiene care; scheduled toileting
FAST-6b,ADL,ADL-4,Transferring,Requires Assistance,d420,Needs physical assistance with transfers; significant fall risk.,Physical transfer assistance; mobility aids; proper lifting techniques
FAST-6b,ADL,ADL-5,Continence,Requires Prompting,b620,Maintaining continence with intensive scheduled toileting.,Intensive toileting schedule; incontinence products on standby
FAST-6b,ADL,ADL-6,Feeding,Requires Prompting,d550,Needs encouragement and setup to eat; may need reminders to swallow.,Meal setup; eating encouragement; aspiration precautions; monitoring
FAST-6b,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot use telephone.,Complete telephone management
FAST-6b,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate in shopping.,Complete shopping assistance
FAST-6b,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate in meal preparation.,Complete meal preparation
FAST-6b,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot perform housekeeping.,Complete housekeeping required
FAST-6b,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate in laundry.,Complete laundry care
FAST-6b,IADL,IADL-6,Transportation,Dependent,d470,Completely dependent for transportation.,Complete transportation assistance
FAST-6b,IADL,IADL-7,Medications,Dependent,d570,Completely dependent for medications.,Complete medication management
FAST-6b,IADL,IADL-8,Financial Management,Dependent,d860,Cannot manage finances.,Complete financial management
FAST-6c,ADL,ADL-1,Bathing,Requires Assistance,d510,Requires complete bathing assistance.,Total bathing care; skin integrity monitoring
FAST-6c,ADL,ADL-2,Dressing,Requires Assistance,d540,Requires complete dressing assistance.,Total dressing care; adaptive clothing
FAST-6c,ADL,ADL-3,Toileting,Requires Assistance,d530,Cannot handle toileting mechanics; forgets to flush; improper hygiene.,Complete toileting assistance; hygiene care; dignity preservation
FAST-6c,ADL,ADL-4,Transferring,Requires Assistance,d420,Needs physical assistance with all transfers.,Complete transfer assistance; mechanical lifts if needed
FAST-6c,ADL,ADL-5,Continence,Requires Prompting,b620,Continent with intensive assistance; accidents becoming more frequent.,Intensive toileting assistance; incontinence products ready
FAST-6c,ADL,ADL-6,Feeding,Requires Prompting,d550,Needs significant encouragement and assistance to maintain adequate intake.,Feeding assistance; aspiration precautions; adequate nutrition monitoring
FAST-6c,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot use telephone.,N/A - Complete dependency in all IADLs
FAST-6c,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate in shopping.,N/A - Complete dependency in all IADLs
FAST-6c,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate in meal preparation.,N/A - Complete dependency in all IADLs
FAST-6c,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot perform housekeeping.,N/A - Complete dependency in all IADLs
FAST-6c,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate in laundry.,N/A - Complete dependency in all IADLs
FAST-6c,IADL,IADL-6,Transportation,Dependent,d470,Completely dependent for transportation.,N/A - Complete dependency in all IADLs
FAST-6c,IADL,IADL-7,Medications,Dependent,d570,Completely dependent for medications.,N/A - Complete dependency in all IADLs
FAST-6c,IADL,IADL-8,Financial Management,Dependent,d860,Cannot manage finances.,N/A - Complete dependency in all IADLs
FAST-6d,ADL,ADL-1,Bathing,Requires Assistance,d510,Complete bathing assistance required.,Total care; skin integrity; infection prevention
FAST-6d,ADL,ADL-2,Dressing,Requires Assistance,d540,Complete dressing assistance required.,Total care; adaptive clothing; comfort
FAST-6d,ADL,ADL-3,Toileting,Requires Assistance,d530,Complete toileting assistance required.,Total toileting care; dignity preservation
FAST-6d,ADL,ADL-4,Transferring,Requires Assistance,d420,Complete transfer assistance required; may need mechanical lift.,Total transfer care; lift equipment; fall prevention
FAST-6d,ADL,ADL-5,Continence,Dependent - Urinary Incontinence,b620,Urinary incontinence present (occasional to frequent).,Incontinence management; scheduled toileting; skin care; dignity preservation
FAST-6d,ADL,ADL-6,Feeding,Requires Prompting,d550,Needs assistance and encouragement with feeding.,Feeding assistance; aspiration risk; nutrition monitoring
FAST-6d,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot use telephone.,N/A - Complete dependency in all IADLs
FAST-6d,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate in shopping.,N/A - Complete dependency in all IADLs
FAST-6d,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate in meal preparation.,N/A - Complete dependency in all IADLs
FAST-6d,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot perform housekeeping.,N/A - Complete dependency in all IADLs
FAST-6d,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate in laundry.,N/A - Complete dependency in all IADLs
FAST-6d,IADL,IADL-6,Transportation,Dependent,d470,Completely dependent for transportation.,N/A - Complete dependency in all IADLs
FAST-6d,IADL,IADL-7,Medications,Dependent,d570,Completely dependent for medications.,N/A - Complete dependency in all IADLs
FAST-6d,IADL,IADL-8,Financial Management,Dependent,d860,Cannot manage finances.,N/A - Complete dependency in all IADLs
FAST-6e,ADL,ADL-1,Bathing,Requires Assistance,d510,Complete bathing assistance required.,Total care; skin integrity critical; infection control
FAST-6e,ADL,ADL-2,Dressing,Requires Assistance,d540,Complete dressing assistance required.,Total care; adaptive clothing; skin protection
FAST-6e,ADL,ADL-3,Toileting,Requires Assistance,d530,Complete toileting assistance required.,Total toileting care; perineal care
FAST-6e,ADL,ADL-4,Transferring,Requires Assistance,d420,Complete transfer assistance; likely mechanical lift needed.,Total transfer care; lift equipment essential; pressure relief
FAST-6e,ADL,ADL-5,Continence,Dependent - Urinary and Fecal Incontinence,b620,Both urinary and fecal incontinence present.,Complete incontinence management; skin integrity; frequent changes; barrier creams
FAST-6e,ADL,ADL-6,Feeding,Requires Assistance,d550,May need partial or complete feeding assistance.,Feeding assistance or complete feeding; aspiration precautions; nutrition/hydration monitoring
FAST-6e,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot use telephone.,N/A - Complete dependency in all IADLs
FAST-6e,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate in shopping.,N/A - Complete dependency in all IADLs
FAST-6e,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate in meal preparation.,N/A - Complete dependency in all IADLs
FAST-6e,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot perform housekeeping.,N/A - Complete dependency in all IADLs
FAST-6e,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate in laundry.,N/A - Complete dependency in all IADLs
FAST-6e,IADL,IADL-6,Transportation,Dependent,d470,Completely dependent for transportation.,N/A - Complete dependency in all IADLs
FAST-6e,IADL,IADL-7,Medications,Dependent,d570,Completely dependent for medications.,N/A - Complete dependency in all IADLs
FAST-6e,IADL,IADL-8,Financial Management,Dependent,d860,Cannot manage finances.,N/A - Complete dependency in all IADLs
FAST-7a,ADL,ADL-1,Bathing,Dependent,d510,Complete bathing care required.,Total care; comfort measures; skin integrity
FAST-7a,ADL,ADL-2,Dressing,Dependent,d540,Complete dressing care required.,Total care; comfort-focused clothing
FAST-7a,ADL,ADL-3,Toileting,Dependent,d530,Complete toileting care required.,Total care; incontinence management
FAST-7a,ADL,ADL-4,Transferring,Dependent,d420,Complete transfer care; mechanical lift essential.,Total care; positioning; pressure relief; turning schedule
FAST-7a,ADL,ADL-5,Continence,Dependent,b620,Complete incontinence management required.,Total incontinence care; skin protection
FAST-7a,ADL,ADL-6,Feeding,Dependent,d550,May need complete feeding assistance; speech limited to 1-5 words.,Feeding assistance; aspiration risk high; modified textures; possible feeding tube consideration
FAST-7a,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot use telephone.,N/A - Complete dependency in all IADLs
FAST-7a,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate.,N/A - Complete dependency in all IADLs
FAST-7a,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate.,N/A - Complete dependency in all IADLs
FAST-7a,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot participate.,N/A - Complete dependency in all IADLs
FAST-7a,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate.,N/A - Complete dependency in all IADLs
FAST-7a,IADL,IADL-6,Transportation,Dependent,d470,Cannot participate.,N/A - Complete dependency in all IADLs
FAST-7a,IADL,IADL-7,Medications,Dependent,d570,Cannot participate.,N/A - Complete dependency in all IADLs
FAST-7a,IADL,IADL-8,Financial Management,Dependent,d860,Cannot participate.,N/A - Complete dependency in all IADLs
FAST-7b,ADL,ADL-1,Bathing,Dependent,d510,Complete care required.,Total care; comfort; dignity preservation
FAST-7b,ADL,ADL-2,Dressing,Dependent,d540,Complete care required.,Total care; comfort-focused
FAST-7b,ADL,ADL-3,Toileting,Dependent,d530,Complete care required.,Total incontinence care
FAST-7b,ADL,ADL-4,Transferring,Dependent,d420,Complete care; mechanical lift essential.,Total care; positioning; pressure ulcer prevention
FAST-7b,ADL,ADL-5,Continence,Dependent,b620,Complete incontinence care required.,Total incontinence management; skin care
FAST-7b,ADL,ADL-6,Feeding,Dependent,d550,Complete feeding assistance; speech limited to single word.,Complete feeding care; high aspiration risk; dysphagia management; alternative nutrition routes may be considered
FAST-7b,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot participate.,N/A - Complete dependency
FAST-7b,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate.,N/A - Complete dependency
FAST-7b,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate.,N/A - Complete dependency
FAST-7b,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot participate.,N/A - Complete dependency
FAST-7b,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate.,N/A - Complete dependency
FAST-7b,IADL,IADL-6,Transportation,Dependent,d470,Cannot participate.,N/A - Complete dependency
FAST-7b,IADL,IADL-7,Medications,Dependent,d570,Cannot participate.,N/A - Complete dependency
FAST-7b,IADL,IADL-8,Financial Management,Dependent,d860,Cannot participate.,N/A - Complete dependency
FAST-7c,ADL,ADL-1,Bathing,Dependent,d510,Complete care; bed bath.,Total care; comfort; skin integrity critical
FAST-7c,ADL,ADL-2,Dressing,Dependent,d540,Complete care.,Total care; adaptive clothing for bed-bound
FAST-7c,ADL,ADL-3,Toileting,Dependent,d530,Complete care; bedbound.,Complete incontinence care; skin integrity critical
FAST-7c,ADL,ADL-4,Transferring,Dependent - Non-Ambulatory,d420,Cannot walk; complete bed/chair transfer assistance with mechanical lift.,Total mobility care; mechanical lift required; repositioning schedule; pressure ulcer prevention critical
FAST-7c,ADL,ADL-5,Continence,Dependent,b620,Complete incontinence care.,Total incontinence management; pressure ulcer prevention
FAST-7c,ADL,ADL-6,Feeding,Dependent,d550,Complete feeding assistance; severe dysphagia risk.,Complete feeding care; severe aspiration risk; modified consistency; enteral feeding often needed
FAST-7c,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot participate.,N/A - Complete dependency
FAST-7c,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate.,N/A - Complete dependency
FAST-7c,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate.,N/A - Complete dependency
FAST-7c,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot participate.,N/A - Complete dependency
FAST-7c,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate.,N/A - Complete dependency
FAST-7c,IADL,IADL-6,Transportation,Dependent,d470,Cannot participate.,N/A - Complete dependency
FAST-7c,IADL,IADL-7,Medications,Dependent,d570,Cannot participate.,N/A - Complete dependency
FAST-7c,IADL,IADL-8,Financial Management,Dependent,d860,Cannot participate.,N/A - Complete dependency
FAST-7d,ADL,ADL-1,Bathing,Dependent,d510,Complete bed bath.,Total care; skin integrity; infection control
FAST-7d,ADL,ADL-2,Dressing,Dependent,d540,Complete care.,Total care; comfort clothing for bed-bound
FAST-7d,ADL,ADL-3,Toileting,Dependent,d530,Complete care.,Complete incontinence care; pressure ulcer care
FAST-7d,ADL,ADL-4,Transferring,Dependent - Cannot Sit Unsupported,d420,Cannot sit up without support; complete positioning care with mechanical lift.,Total mobility care; cannot sit without lateral support; positioning critical; pressure relief essential
FAST-7d,ADL,ADL-5,Continence,Dependent,b620,Complete incontinence care.,Total incontinence management; skin care critical
FAST-7d,ADL,ADL-6,Feeding,Dependent,d550,Complete feeding care; very high aspiration risk.,Complete feeding; very high aspiration risk; positioning critical; enteral feeding often required
FAST-7d,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot participate.,N/A - Complete dependency
FAST-7d,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate.,N/A - Complete dependency
FAST-7d,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate.,N/A - Complete dependency
FAST-7d,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot participate.,N/A - Complete dependency
FAST-7d,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate.,N/A - Complete dependency
FAST-7d,IADL,IADL-6,Transportation,Dependent,d470,Cannot participate.,N/A - Complete dependency
FAST-7d,IADL,IADL-7,Medications,Dependent,d570,Cannot participate.,N/A - Complete dependency
FAST-7d,IADL,IADL-8,Financial Management,Dependent,d860,Cannot participate.,N/A - Complete dependency
FAST-7e,ADL,ADL-1,Bathing,Dependent,d510,Complete bed bath; comfort care.,End-stage care; comfort measures; skin care
FAST-7e,ADL,ADL-2,Dressing,Dependent,d540,Complete care; comfort focused.,End-stage care; minimal clothing changes; comfort priority
FAST-7e,ADL,ADL-3,Toileting,Dependent,d530,Complete care.,Complete incontinence care; comfort priority
FAST-7e,ADL,ADL-4,Transferring,Dependent,d420,Complete care; bed-bound.,Total care; bed-bound; repositioning for comfort and pressure relief
FAST-7e,ADL,ADL-5,Continence,Dependent,b620,Complete incontinence care.,Total incontinence care; skin protection
FAST-7e,ADL,ADL-6,Feeding,Dependent,d550,Complete feeding care; enteral feeding often needed; loss of ability to smile.,End-stage feeding care; enteral feeding commonly required; comfort feeding if oral intake
FAST-7e,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot participate.,N/A - End-stage care focus
FAST-7e,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate.,N/A - End-stage care focus
FAST-7e,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate.,N/A - End-stage care focus
FAST-7e,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot participate.,N/A - End-stage care focus
FAST-7e,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate.,N/A - End-stage care focus
FAST-7e,IADL,IADL-6,Transportation,Dependent,d470,Cannot participate.,N/A - End-stage care focus
FAST-7e,IADL,IADL-7,Medications,Dependent,d570,Cannot participate.,N/A - End-stage care focus
FAST-7e,IADL,IADL-8,Financial Management,Dependent,d860,Cannot participate.,N/A - End-stage care focus
FAST-7f,ADL,ADL-1,Bathing,Dependent,d510,Complete bed bath; comfort care only.,End-stage dementia care; comfort measures; dignity preservation
FAST-7f,ADL,ADL-2,Dressing,Dependent,d540,Minimal care; comfort priority.,End-stage care; comfort-focused minimal intervention
FAST-7f,ADL,ADL-3,Toileting,Dependent,d530,Complete incontinence care.,Complete care; skin protection; comfort
FAST-7f,ADL,ADL-4,Transferring,Dependent - Cannot Hold Head Up,d420,Complete care; bed-bound; cannot hold head up independently.,End-stage care; bed-bound; head support required; repositioning for comfort
FAST-7f,ADL,ADL-5,Continence,Dependent,b620,Complete incontinence care.,Complete care; comfort priority
FAST-7f,ADL,ADL-6,Feeding,Dependent,d550,Enteral feeding typically required; oral feeding very high risk.,End-stage feeding; enteral nutrition typically required; comfort oral care; end-of-life considerations
FAST-7f,IADL,IADL-1,Using Telephone,Dependent,d360,Cannot participate.,N/A - End-stage/palliative care focus
FAST-7f,IADL,IADL-2,Shopping,Dependent,d620,Cannot participate.,N/A - End-stage/palliative care focus
FAST-7f,IADL,IADL-3,Food Preparation,Dependent,d630,Cannot participate.,N/A - End-stage/palliative care focus
FAST-7f,IADL,IADL-4,Housekeeping,Dependent,d640,Cannot participate.,N/A - End-stage/palliative care focus
FAST-7f,IADL,IADL-5,Laundry,Dependent,d640,Cannot participate.,N/A - End-stage/palliative care focus
FAST-7f,IADL,IADL-6,Transportation,Dependent,d470,Cannot participate.,N/A - End-stage/palliative care focus
